encoder,decoder,dataset,seed,latency_ms_per_image,peak_memory_MB,total_params_M,trainable_params_M,flops_G,flops_source,n_warmup,n_timed,device_used,weights
convnext,cascade,isic2018,0,3.004,305.44,38.289,38.289,8.812,fvcore,5,20,cuda,random_init
convnext,cascade,isic2018,1,3.039,305.44,38.289,38.289,8.812,fvcore,5,20,cuda,random_init
convnext,cascade,isic2018,2,3.067,305.44,38.289,38.289,8.812,fvcore,5,20,cuda,random_init
convnext,cascade,isic2018,3,3.019,305.44,38.289,38.289,8.812,fvcore,5,20,cuda,random_init
convnext,cascade,isic2018,4,2.97,305.44,38.289,38.289,8.812,fvcore,5,20,cuda,random_init
convnext,emcad,isic2018,0,3.415,277.93,30.066,30.066,6.375,fvcore,5,20,cuda,random_init
convnext,emcad,isic2018,1,3.439,277.93,30.066,30.066,6.375,fvcore,5,20,cuda,random_init
convnext,emcad,isic2018,2,3.432,277.93,30.066,30.066,6.375,fvcore,5,20,cuda,random_init
convnext,emcad,isic2018,3,3.447,277.93,30.066,30.066,6.375,fvcore,5,20,cuda,random_init
convnext,emcad,isic2018,4,3.467,277.93,30.066,30.066,6.375,fvcore,5,20,cuda,random_init
convnext,g_cascade,isic2018,0,4.769,371.16,29.928,29.928,6.325,fvcore,5,20,cuda,random_init
convnext,g_cascade,isic2018,1,4.762,371.16,29.928,29.928,6.325,fvcore,5,20,cuda,random_init
convnext,g_cascade,isic2018,2,4.781,371.16,29.928,29.928,6.325,fvcore,5,20,cuda,random_init
convnext,g_cascade,isic2018,3,4.777,371.16,29.928,29.928,6.325,fvcore,5,20,cuda,random_init
convnext,g_cascade,isic2018,4,4.78,371.16,29.928,29.928,6.325,fvcore,5,20,cuda,random_init
convnext,linear_mlp,isic2018,0,1.817,263.52,27.911,27.911,5.889,fvcore,5,20,cuda,random_init
convnext,linear_mlp,isic2018,1,1.812,263.52,27.911,27.911,5.889,fvcore,5,20,cuda,random_init
convnext,linear_mlp,isic2018,2,1.815,263.52,27.911,27.911,5.889,fvcore,5,20,cuda,random_init
convnext,linear_mlp,isic2018,3,1.81,263.52,27.911,27.911,5.889,fvcore,5,20,cuda,random_init
convnext,linear_mlp,isic2018,4,1.81,263.52,27.911,27.911,5.889,fvcore,5,20,cuda,random_init
convnext,semantic_fpn,isic2018,0,2.084,263.09,28.244,28.244,6.226,fvcore,5,20,cuda,random_init
