encoder,decoder,dataset,seed,latency_ms_per_image,peak_memory_MB,total_params_M,trainable_params_M,flops_G,flops_source,n_warmup,n_timed,device_used,test_dice,test_iou
convnext,bat,busi,0,2.553,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8012704779120052,0.7111454080132877
convnext,bat,busi,1,2.555,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.805101801367367,0.7184929707471062
convnext,bat,busi,2,2.544,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.804006955202888,0.7071810995831209
convnext,bat,busi,3,2.55,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8116616992389455,0.7182734783957986
convnext,bat,busi,4,2.544,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.802591415012584,0.70918488853118
convnext,bat,isic2018,0,2.835,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8864505676122812,0.8125989703031686
convnext,bat,isic2018,1,2.837,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.887016288133768,0.8116639990072984
convnext,bat,isic2018,2,2.876,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8925972287471478,0.8201185657427861
convnext,bat,isic2018,3,2.823,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8923385821855985,0.8165446785780099
convnext,bat,isic2018,4,2.543,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8901544525073125,0.816825189957252
convnext,bat,polyp_kvasir,0,2.534,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8950486274865957,0.8288207971132718
convnext,bat,polyp_kvasir,1,2.542,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8928178182015052,0.8284432750481826
convnext,bat,polyp_kvasir,2,2.549,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.897400425030635,0.8324755751169645
convnext,bat,polyp_kvasir,3,2.549,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8899928193825942,0.8247666037999667
convnext,bat,polyp_kvasir,4,2.535,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.9004620038546048,0.8377074140768784
convnext,bat,tn3k,0,2.543,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8279316417582623,0.7423294395595402
convnext,bat,tn3k,1,2.533,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8217885122670756,0.7338620664237382
convnext,bat,tn3k,2,2.539,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8232010633914502,0.7366442672618023
convnext,bat,tn3k,3,2.9,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8256319134266346,0.7402805987890665
convnext,bat,tn3k,4,2.882,346.1,39.0,39.0,5.868,fvcore,5,20,cuda,0.8239983320236206,0.7391730337947994
convnext,boundformer,busi,0,5.2,377.12,28.25,28.25,5.98,fvcore,5,20,cuda,0.7099271556910347,0.5922327707795536
