encoder,decoder,dataset,n_seeds,test_dice,test_iou,ph2_zeroshot_dice,ph2_zeroshot_iou,total_params_M,flops_G,latency_ms_per_image,peak_memory_MB
convnext,baseline_cascade,busi,5,81.60 ± 1.24,72.89 ± 1.45,-,-,38.29,8.81,9.14,968.30
convnext,baseline_cascade,isic2018,5,89.89 ± 0.28,83.12 ± 0.42,90.56 ± 0.53,83.48 ± 0.89,38.29,8.81,9.05,968.30
convnext,baseline_cascade,polyp_kvasir,5,91.21 ± 0.26,86.10 ± 0.32,-,-,38.29,8.81,9.08,968.30
convnext,baseline_cascade,tn3k,5,83.86 ± 0.36,76.10 ± 0.40,-,-,38.29,8.81,9.10,968.30
convnext,baseline_emcad,busi,5,80.34 ± 1.55,71.60 ± 1.37,-,-,30.07,6.38,8.76,802.30
convnext,baseline_emcad,isic2018,5,89.91 ± 0.30,83.05 ± 0.40,90.54 ± 0.51,83.50 ± 0.80,30.07,6.38,8.74,807.02
convnext,baseline_emcad,polyp_kvasir,5,91.03 ± 0.52,85.90 ± 0.56,-,-,30.07,6.38,8.77,802.57
convnext,baseline_emcad,tn3k,5,83.82 ± 0.41,75.90 ± 0.40,-,-,30.07,6.38,8.76,803.09
convnext,baseline_g_cascade,busi,5,82.62 ± 0.63,74.11 ± 0.70,-,-,29.93,6.33,15.01,895.73
convnext,baseline_g_cascade,isic2018,5,89.81 ± 0.49,82.97 ± 0.67,90.88 ± 0.39,84.02 ± 0.66,29.93,6.33,15.01,895.73
convnext,baseline_g_cascade,polyp_kvasir,5,90.39 ± 0.81,84.91 ± 1.05,-,-,29.93,6.33,14.96,895.73
convnext,baseline_g_cascade,tn3k,5,83.77 ± 0.20,75.88 ± 0.24,-,-,29.93,6.33,15.01,895.73
pvt,baseline_cascade,busi,5,81.75 ± 0.28,73.21 ± 0.33,-,-,33.80,8.01,13.09,870.84
pvt,baseline_cascade,isic2018,5,90.34 ± 0.24,83.83 ± 0.31,91.25 ± 0.48,84.58 ± 0.82,33.80,8.01,12.94,870.84
pvt,baseline_cascade,polyp_kvasir,5,91.26 ± 0.17,86.15 ± 0.25,-,-,33.80,8.01,12.90,872.97
pvt,baseline_cascade,tn3k,5,84.86 ± 0.31,77.09 ± 0.36,-,-,33.80,8.01,13.00,870.84
pvt,baseline_emcad,busi,5,82.12 ± 0.77,73.51 ± 0.82,-,-,26.94,5.85,12.78,726.53
pvt,baseline_emcad,isic2018,5,90.16 ± 0.18,83.56 ± 0.26,91.37 ± 0.54,84.75 ± 0.87,26.94,5.85,12.76,726.53
pvt,baseline_emcad,polyp_kvasir,5,91.62 ± 0.65,86.41 ± 0.85,-,-,26.94,5.85,12.39,725.02
pvt,baseline_emcad,tn3k,5,83.88 ± 0.36,75.91 ± 0.34,-,-,26.94,5.85,12.67,727.25
pvt,baseline_g_cascade,busi,5,82.28 ± 0.39,73.65 ± 0.54,-,-,26.80,5.80,18.95,816.80
pvt,baseline_g_cascade,isic2018,5,90.31 ± 0.30,83.79 ± 0.37,92.21 ± 0.44,86.12 ± 0.76,26.80,5.80,18.95,817.52
pvt,baseline_g_cascade,polyp_kvasir,5,91.75 ± 0.97,86.66 ± 1.23,-,-,26.80,5.80,18.82,818.87
pvt,baseline_g_cascade,tn3k,5,84.15 ± 0.53,76.01 ± 0.64,-,-,26.80,5.80,17.59,816.80
resnet,baseline_cascade,busi,5,80.66 ± 0.53,71.84 ± 0.88,-,-,43.17,10.27,8.96,1038.99
