index,split,image_id,image_path,mask_path
0,train,ISIC_0010553,ISIC-2017_Training_Data/ISIC_0010553.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010553_segmentation.png
1,train,ISIC_0009925,ISIC-2017_Training_Data/ISIC_0009925.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0009925_segmentation.png
2,train,ISIC_0014394,ISIC-2017_Training_Data/ISIC_0014394.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0014394_segmentation.png
3,train,ISIC_0013997,ISIC-2017_Training_Data/ISIC_0013997.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013997_segmentation.png
4,train,ISIC_0011367,ISIC-2017_Training_Data/ISIC_0011367.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0011367_segmentation.png
5,train,ISIC_0000198,ISIC-2017_Training_Data/ISIC_0000198.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000198_segmentation.png
6,train,ISIC_0010326,ISIC-2017_Training_Data/ISIC_0010326.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010326_segmentation.png
7,train,ISIC_0001102,ISIC-2017_Training_Data/ISIC_0001102.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0001102_segmentation.png
8,train,ISIC_0010574,ISIC-2017_Training_Data/ISIC_0010574.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010574_segmentation.png
9,train,ISIC_0015189,ISIC-2017_Training_Data/ISIC_0015189.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0015189_segmentation.png
10,train,ISIC_0000220,ISIC-2017_Training_Data/ISIC_0000220.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000220_segmentation.png
11,train,ISIC_0013223,ISIC-2017_Training_Data/ISIC_0013223.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013223_segmentation.png
12,train,ISIC_0000038,ISIC-2017_Training_Data/ISIC_0000038.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000038_segmentation.png
13,train,ISIC_0000193,ISIC-2017_Training_Data/ISIC_0000193.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000193_segmentation.png
14,train,ISIC_0013039,ISIC-2017_Training_Data/ISIC_0013039.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013039_segmentation.png
15,train,ISIC_0014476,ISIC-2017_Training_Data/ISIC_0014476.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0014476_segmentation.png
16,train,ISIC_0014923,ISIC-2017_Training_Data/ISIC_0014923.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0014923_segmentation.png
17,train,ISIC_0010070,ISIC-2017_Training_Data/ISIC_0010070.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010070_segmentation.png
18,train,ISIC_0009252,ISIC-2017_Training_Data/ISIC_0009252.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0009252_segmentation.png
19,train,ISIC_0002107,ISIC-2017_Training_Data/ISIC_0002107.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0002107_segmentation.png
20,train,ISIC_0012678,ISIC-2017_Training_Data/ISIC_0012678.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0012678_segmentation.png
21,train,ISIC_0000098,ISIC-2017_Training_Data/ISIC_0000098.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000098_segmentation.png
22,train,ISIC_0013713,ISIC-2017_Training_Data/ISIC_0013713.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013713_segmentation.png
23,train,ISIC_0012907,ISIC-2017_Training_Data/ISIC_0012907.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0012907_segmentation.png
24,train,ISIC_0012386,ISIC-2017_Training_Data/ISIC_0012386.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0012386_segmentation.png
25,train,ISIC_0014654,ISIC-2017_Training_Data/ISIC_0014654.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0014654_segmentation.png
26,train,ISIC_0013530,ISIC-2017_Training_Data/ISIC_0013530.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013530_segmentation.png
27,train,ISIC_0013160,ISIC-2017_Training_Data/ISIC_0013160.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013160_segmentation.png
28,train,ISIC_0002673,ISIC-2017_Training_Data/ISIC_0002673.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0002673_segmentation.png
29,train,ISIC_0010449,ISIC-2017_Training_Data/ISIC_0010449.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010449_segmentation.png
30,train,ISIC_0011110,ISIC-2017_Training_Data/ISIC_0011110.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0011110_segmentation.png
31,train,ISIC_0000078,ISIC-2017_Training_Data/ISIC_0000078.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000078_segmentation.png
32,train,ISIC_0000042,ISIC-2017_Training_Data/ISIC_0000042.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000042_segmentation.png
33,train,ISIC_0010557,ISIC-2017_Training_Data/ISIC_0010557.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010557_segmentation.png
34,train,ISIC_0012709,ISIC-2017_Training_Data/ISIC_0012709.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0012709_segmentation.png
35,train,ISIC_0011095,ISIC-2017_Training_Data/ISIC_0011095.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0011095_segmentation.png
36,train,ISIC_0009533,ISIC-2017_Training_Data/ISIC_0009533.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0009533_segmentation.png
37,train,ISIC_0009430,ISIC-2017_Training_Data/ISIC_0009430.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0009430_segmentation.png
38,train,ISIC_0000332,ISIC-2017_Training_Data/ISIC_0000332.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000332_segmentation.png
39,train,ISIC_0014903,ISIC-2017_Training_Data/ISIC_0014903.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0014903_segmentation.png
40,train,ISIC_0014694,ISIC-2017_Training_Data/ISIC_0014694.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0014694_segmentation.png
41,train,ISIC_0009939,ISIC-2017_Training_Data/ISIC_0009939.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0009939_segmentation.png
42,train,ISIC_0014582,ISIC-2017_Training_Data/ISIC_0014582.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0014582_segmentation.png
43,train,ISIC_0010479,ISIC-2017_Training_Data/ISIC_0010479.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010479_segmentation.png
44,train,ISIC_0009910,ISIC-2017_Training_Data/ISIC_0009910.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0009910_segmentation.png
45,train,ISIC_0013333,ISIC-2017_Training_Data/ISIC_0013333.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013333_segmentation.png
46,train,ISIC_0014615,ISIC-2017_Training_Data/ISIC_0014615.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0014615_segmentation.png
47,train,ISIC_0010047,ISIC-2017_Training_Data/ISIC_0010047.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010047_segmentation.png
48,train,ISIC_0010603,ISIC-2017_Training_Data/ISIC_0010603.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010603_segmentation.png
49,train,ISIC_0010213,ISIC-2017_Training_Data/ISIC_0010213.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010213_segmentation.png
50,train,ISIC_0015170,ISIC-2017_Training_Data/ISIC_0015170.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0015170_segmentation.png
51,train,ISIC_0013187,ISIC-2017_Training_Data/ISIC_0013187.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013187_segmentation.png
52,train,ISIC_0014504,ISIC-2017_Training_Data/ISIC_0014504.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0014504_segmentation.png
53,train,ISIC_0013027,ISIC-2017_Training_Data/ISIC_0013027.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013027_segmentation.png
54,train,ISIC_0012164,ISIC-2017_Training_Data/ISIC_0012164.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0012164_segmentation.png
55,train,ISIC_0013121,ISIC-2017_Training_Data/ISIC_0013121.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013121_segmentation.png
56,train,ISIC_0013972,ISIC-2017_Training_Data/ISIC_0013972.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013972_segmentation.png
57,train,ISIC_0000427,ISIC-2017_Training_Data/ISIC_0000427.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000427_segmentation.png
58,train,ISIC_0011115,ISIC-2017_Training_Data/ISIC_0011115.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0011115_segmentation.png
59,train,ISIC_0010069,ISIC-2017_Training_Data/ISIC_0010069.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010069_segmentation.png
60,train,ISIC_0009935,ISIC-2017_Training_Data/ISIC_0009935.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0009935_segmentation.png
61,train,ISIC_0013126,ISIC-2017_Training_Data/ISIC_0013126.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013126_segmentation.png
62,train,ISIC_0011145,ISIC-2017_Training_Data/ISIC_0011145.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0011145_segmentation.png
63,train,ISIC_0009972,ISIC-2017_Training_Data/ISIC_0009972.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0009972_segmentation.png
64,train,ISIC_0010192,ISIC-2017_Training_Data/ISIC_0010192.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010192_segmentation.png
65,train,ISIC_0000449,ISIC-2017_Training_Data/ISIC_0000449.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000449_segmentation.png
66,train,ISIC_0013803,ISIC-2017_Training_Data/ISIC_0013803.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013803_segmentation.png
67,train,ISIC_0010055,ISIC-2017_Training_Data/ISIC_0010055.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010055_segmentation.png
68,train,ISIC_0011107,ISIC-2017_Training_Data/ISIC_0011107.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0011107_segmentation.png
69,train,ISIC_0010046,ISIC-2017_Training_Data/ISIC_0010046.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010046_segmentation.png
70,train,ISIC_0012212,ISIC-2017_Training_Data/ISIC_0012212.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0012212_segmentation.png
71,train,ISIC_0000044,ISIC-2017_Training_Data/ISIC_0000044.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000044_segmentation.png
72,train,ISIC_0012772,ISIC-2017_Training_Data/ISIC_0012772.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0012772_segmentation.png
73,train,ISIC_0000159,ISIC-2017_Training_Data/ISIC_0000159.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000159_segmentation.png
74,train,ISIC_0014028,ISIC-2017_Training_Data/ISIC_0014028.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0014028_segmentation.png
75,train,ISIC_0010100,ISIC-2017_Training_Data/ISIC_0010100.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0010100_segmentation.png
76,train,ISIC_0013055,ISIC-2017_Training_Data/ISIC_0013055.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013055_segmentation.png
77,train,ISIC_0013621,ISIC-2017_Training_Data/ISIC_0013621.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013621_segmentation.png
78,train,ISIC_0000314,ISIC-2017_Training_Data/ISIC_0000314.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000314_segmentation.png
79,train,ISIC_0013888,ISIC-2017_Training_Data/ISIC_0013888.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0013888_segmentation.png
80,train,ISIC_0006326,ISIC-2017_Training_Data/ISIC_0006326.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0006326_segmentation.png
81,train,ISIC_0000354,ISIC-2017_Training_Data/ISIC_0000354.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0000354_segmentation.png
82,train,ISIC_0009188,ISIC-2017_Training_Data/ISIC_0009188.jpg,ISIC-2017_Training_Part1_GroundTruth/ISIC_0009188_segmentation.png
