index,split,image_id,image_path,mask_path
0,train,IMD410,trainx/IMD410.bmp,trainy/IMD410_lesion.bmp
1,train,IMD078,trainx/IMD078.bmp,trainy/IMD078_lesion.bmp
2,train,IMD057,trainx/IMD057.bmp,trainy/IMD057_lesion.bmp
3,train,IMD038,trainx/IMD038.bmp,trainy/IMD038_lesion.bmp
4,train,IMD284,trainx/IMD284.bmp,trainy/IMD284_lesion.bmp
5,train,IMD058,trainx/IMD058.bmp,trainy/IMD058_lesion.bmp
6,train,IMD405,trainx/IMD405.bmp,trainy/IMD405_lesion.bmp
7,train,IMD002,trainx/IMD002.bmp,trainy/IMD002_lesion.bmp
8,train,IMD347,trainx/IMD347.bmp,trainy/IMD347_lesion.bmp
9,train,IMD210,trainx/IMD210.bmp,trainy/IMD210_lesion.bmp
10,train,IMD076,trainx/IMD076.bmp,trainy/IMD076_lesion.bmp
11,train,IMD064,trainx/IMD064.bmp,trainy/IMD064_lesion.bmp
12,train,IMD427,trainx/IMD427.bmp,trainy/IMD427_lesion.bmp
13,train,IMD170,trainx/IMD170.bmp,trainy/IMD170_lesion.bmp
14,train,IMD037,trainx/IMD037.bmp,trainy/IMD037_lesion.bmp
15,train,IMD036,trainx/IMD036.bmp,trainy/IMD036_lesion.bmp
16,train,IMD380,trainx/IMD380.bmp,trainy/IMD380_lesion.bmp
17,train,IMD372,trainx/IMD372.bmp,trainy/IMD372_lesion.bmp
18,train,IMD112,trainx/IMD112.bmp,trainy/IMD112_lesion.bmp
19,train,IMD349,trainx/IMD349.bmp,trainy/IMD349_lesion.bmp
20,train,IMD023,trainx/IMD023.bmp,trainy/IMD023_lesion.bmp
21,train,IMD365,trainx/IMD365.bmp,trainy/IMD365_lesion.bmp
22,train,IMD132,trainx/IMD132.bmp,trainy/IMD132_lesion.bmp
23,train,IMD146,trainx/IMD146.bmp,trainy/IMD146_lesion.bmp
24,train,IMD279,trainx/IMD279.bmp,trainy/IMD279_lesion.bmp
25,train,IMD364,trainx/IMD364.bmp,trainy/IMD364_lesion.bmp
26,train,IMD436,trainx/IMD436.bmp,trainy/IMD436_lesion.bmp
27,train,IMD031,trainx/IMD031.bmp,trainy/IMD031_lesion.bmp
28,train,IMD010,trainx/IMD010.bmp,trainy/IMD010_lesion.bmp
29,train,IMD411,trainx/IMD411.bmp,trainy/IMD411_lesion.bmp
30,train,IMD125,trainx/IMD125.bmp,trainy/IMD125_lesion.bmp
31,train,IMD243,trainx/IMD243.bmp,trainy/IMD243_lesion.bmp
32,train,IMD403,trainx/IMD403.bmp,trainy/IMD403_lesion.bmp
33,train,IMD024,trainx/IMD024.bmp,trainy/IMD024_lesion.bmp
34,train,IMD418,trainx/IMD418.bmp,trainy/IMD418_lesion.bmp
35,train,IMD065,trainx/IMD065.bmp,trainy/IMD065_lesion.bmp
36,train,IMD152,trainx/IMD152.bmp,trainy/IMD152_lesion.bmp
37,train,IMD378,trainx/IMD378.bmp,trainy/IMD378_lesion.bmp
38,train,IMD381,trainx/IMD381.bmp,trainy/IMD381_lesion.bmp
39,train,IMD386,trainx/IMD386.bmp,trainy/IMD386_lesion.bmp
40,train,IMD219,trainx/IMD219.bmp,trainy/IMD219_lesion.bmp
41,train,IMD429,trainx/IMD429.bmp,trainy/IMD429_lesion.bmp
42,train,IMD016,trainx/IMD016.bmp,trainy/IMD016_lesion.bmp
43,train,IMD088,trainx/IMD088.bmp,trainy/IMD088_lesion.bmp
44,train,IMD280,trainx/IMD280.bmp,trainy/IMD280_lesion.bmp
45,train,IMD256,trainx/IMD256.bmp,trainy/IMD256_lesion.bmp
46,train,IMD254,trainx/IMD254.bmp,trainy/IMD254_lesion.bmp
47,train,IMD419,trainx/IMD419.bmp,trainy/IMD419_lesion.bmp
48,train,IMD137,trainx/IMD137.bmp,trainy/IMD137_lesion.bmp
49,train,IMD050,trainx/IMD050.bmp,trainy/IMD050_lesion.bmp
50,train,IMD139,trainx/IMD139.bmp,trainy/IMD139_lesion.bmp
51,train,IMD021,trainx/IMD021.bmp,trainy/IMD021_lesion.bmp
52,train,IMD171,trainx/IMD171.bmp,trainy/IMD171_lesion.bmp
53,train,IMD043,trainx/IMD043.bmp,trainy/IMD043_lesion.bmp
54,train,IMD101,trainx/IMD101.bmp,trainy/IMD101_lesion.bmp
55,train,IMD376,trainx/IMD376.bmp,trainy/IMD376_lesion.bmp
56,train,IMD367,trainx/IMD367.bmp,trainy/IMD367_lesion.bmp
57,train,IMD126,trainx/IMD126.bmp,trainy/IMD126_lesion.bmp
58,train,IMD390,trainx/IMD390.bmp,trainy/IMD390_lesion.bmp
59,train,IMD413,trainx/IMD413.bmp,trainy/IMD413_lesion.bmp
60,train,IMD039,trainx/IMD039.bmp,trainy/IMD039_lesion.bmp
61,train,IMD120,trainx/IMD120.bmp,trainy/IMD120_lesion.bmp
62,train,IMD348,trainx/IMD348.bmp,trainy/IMD348_lesion.bmp
63,train,IMD085,trainx/IMD085.bmp,trainy/IMD085_lesion.bmp
64,train,IMD407,trainx/IMD407.bmp,trainy/IMD407_lesion.bmp
65,train,IMD143,trainx/IMD143.bmp,trainy/IMD143_lesion.bmp
66,train,IMD153,trainx/IMD153.bmp,trainy/IMD153_lesion.bmp
67,train,IMD406,trainx/IMD406.bmp,trainy/IMD406_lesion.bmp
68,train,IMD199,trainx/IMD199.bmp,trainy/IMD199_lesion.bmp
